teth0, 1382454491.941017, execve
teth0, 1382454491.941267, brk
teth0, 1382454491.941321, access
teth0, 1382454491.941377, mmap
teth0, 1382454491.941423, access
teth0, 1382454491.941471, open
teth0, 1382454491.941510, fstat
teth0, 1382454491.941565, mmap
teth0, 1382454491.941598, close
teth0, 1382454491.941632, access
teth0, 1382454491.941676, open
teth0, 1382454491.941717, read
teth0, 1382454491.941767, fstat
teth0, 1382454491.941818, mmap
teth0, 1382454491.941854, mprotect
teth0, 1382454491.941893, mmap
teth0, 1382454491.941940, mmap
teth0, 1382454491.941983, close
teth0, 1382454491.942026, mmap
teth0, 1382454491.942068, mmap
teth0, 1382454491.942110, arch_prctl
teth0, 1382454491.942223, mprotect
teth0, 1382454491.942263, mprotect
teth0, 1382454491.942301, mprotect
teth0, 1382454491.942335, munmap
teth0, 1382454491.942408, socket
teth0, 1382454491.942458, getuid
teth0, 1382454491.942494, setuid
teth0, 1382454491.942602, brk
teth0, 1382454491.942632, brk
teth0, 1382454491.942676, getpid
teth0, 1382454491.942717, open
teth0, 1382454491.942767, fstat
teth0, 1382454491.942816, mmap
teth0, 1382454491.942851, read
teth0, 1382454491.942929, read
teth0, 1382454491.942963, close
teth0, 1382454491.942994, munmap
teth0, 1382454491.943037, uname
teth0, 1382454491.943105, stat
teth0, 1382454491.943165, open
teth0, 1382454491.943205, fstat
teth0, 1382454491.943251, mmap
teth0, 1382454491.943286, read
teth0, 1382454491.943328, read
teth0, 1382454491.943360, close
teth0, 1382454491.943392, munmap
teth0, 1382454491.943427, uname
teth0, 1382454491.943499, socket
teth0, 1382454491.943535, connect
teth0, 1382454491.943594, close
teth0, 1382454491.943633, socket
teth0, 1382454491.943667, connect
teth0, 1382454491.943720, close
teth0, 1382454491.943761, open
teth0, 1382454491.943804, fstat
teth0, 1382454491.943859, mmap
teth0, 1382454491.943893, read
teth0, 1382454491.943948, read
teth0, 1382454491.943980, close
teth0, 1382454491.944012, munmap
teth0, 1382454491.944064, open
teth0, 1382454491.944102, fstat
teth0, 1382454491.944150, mmap
teth0, 1382454491.944184, close
teth0, 1382454491.944219, access
teth0, 1382454491.944300, open
teth0, 1382454491.944661, read
teth0, 1382454491.944729, fstat
teth0, 1382454491.944815, mmap
teth0, 1382454491.944875, mprotect
teth0, 1382454491.944939, mmap
teth0, 1382454491.945019, close
teth0, 1382454491.945095, mprotect
teth0, 1382454491.945161, munmap
teth0, 1382454491.945230, open
teth0, 1382454491.945295, fstat
teth0, 1382454491.945361, mmap
teth0, 1382454491.945418, read
teth0, 1382454491.945483, read
teth0, 1382454491.945535, close
teth0, 1382454491.945586, munmap
teth0, 1382454491.945649, open
teth0, 1382454491.945710, fstat
teth0, 1382454491.945776, mmap
teth0, 1382454491.945829, read
teth0, 1382454491.945900, read
teth0, 1382454491.945953, close
teth0, 1382454491.946004, munmap
teth0, 1382454491.946063, open
teth0, 1382454491.946121, fstat
teth0, 1382454491.946187, mmap
teth0, 1382454491.946239, close
teth0, 1382454491.946292, access
teth0, 1382454491.946357, open
teth0, 1382454491.946416, read
teth0, 1382454491.946478, fstat
teth0, 1382454491.946547, mmap
teth0, 1382454491.946601, mprotect
teth0, 1382454491.946659, mmap
teth0, 1382454491.946724, close
teth0, 1382454491.946784, mprotect
teth0, 1382454491.946837, munmap
teth0, 1382454491.946929, open
teth0, 1382454491.946984, fstat
teth0, 1382454491.947060, mmap
teth0, 1382454491.947119, close
teth0, 1382454491.947178, access
teth0, 1382454491.947248, open
teth0, 1382454491.947318, read
teth0, 1382454491.947386, fstat
teth0, 1382454491.947469, mmap
teth0, 1382454491.947530, mprotect
teth0, 1382454491.947593, mmap
teth0, 1382454491.947665, close
teth0, 1382454491.947733, access
teth0, 1382454491.947792, open
teth0, 1382454491.947865, read
teth0, 1382454491.947934, fstat
teth0, 1382454491.948015, mmap
teth0, 1382454491.948078, mprotect
teth0, 1382454491.948146, mmap
teth0, 1382454491.948220, mmap
teth0, 1382454491.948290, close
teth0, 1382454491.948367, mprotect
teth0, 1382454491.948435, mprotect
teth0, 1382454491.948498, munmap
teth0, 1382454491.948569, stat
teth0, 1382454491.948672, socket
teth0, 1382454491.948743, connect
teth0, 1382454491.948834, poll
teth0, 1382454491.948909, sendto
teth0, 1382454491.948984, poll
teth0, 1382454491.992088, ioctl
teth0, 1382454491.992229, recvfrom
teth0, 1382454491.992510, close
teth0, 1382454491.992797, socket
teth0, 1382454491.992965, connect
teth0, 1382454491.993109, getsockname
teth0, 1382454491.993242, close
teth0, 1382454491.993369, setsockopt
teth0, 1382454491.993499, setsockopt
teth0, 1382454491.993632, setsockopt
teth0, 1382454491.993757, setsockopt
teth0, 1382454491.993883, getsockopt
teth0, 1382454491.994057, fstat
teth0, 1382454491.994221, mmap
teth0, 1382454491.994376, write
teth0, 1382454491.994547, setsockopt
teth0, 1382454491.994666, setsockopt
teth0, 1382454491.994805, setsockopt
teth0, 1382454491.995006, rt_sigaction
teth0, 1382454491.995185, rt_sigaction
teth0, 1382454491.995334, rt_sigaction
teth0, 1382454491.995496, ioctl
teth0, 1382454491.995644, ioctl
teth0, 1382454491.995796, sendmsg
teth0, 1382454491.996040, recvmsg
teth0, 1382454492.172482, stat
teth0, 1382454492.172809, open
teth0, 1382454492.173083, fstat
teth0, 1382454492.173396, mmap
teth0, 1382454492.173617, read
teth0, 1382454492.173825, read
teth0, 1382454492.174009, close
teth0, 1382454492.174159, munmap
teth0, 1382454492.174361, stat
teth0, 1382454492.174618, socket
teth0, 1382454492.174768, connect
